"filename", "language", "Python", "YAML", "Markdown", "MS SQL", "Shell Script", "JSON", "JSON Lines", "Properties", "Docker", "Ini", "XML", "HTML", "Makefile", "JSON with Comments", "comment", "blank", "total"
"/workspaces/NeuroNews/.github/TROUBLESHOOTING.md", "Markdown", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 418
"/workspaces/NeuroNews/.github/pull_request_template.md", "Markdown", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 249
"/workspaces/NeuroNews/.github/workflows/README.md", "Markdown", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 285
"/workspaces/NeuroNews/.github/workflows/airflow-dag-check.yml", "YAML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/workspaces/NeuroNews/.github/workflows/canary-deployment.yml", "YAML", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 57, 343
"/workspaces/NeuroNews/.github/workflows/ci-cd-ansible.yml", "YAML", 0, 485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75, 570
"/workspaces/NeuroNews/.github/workflows/ci-cd-containers.yml", "YAML", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 155
"/workspaces/NeuroNews/.github/workflows/ci-cd-pipeline.yml", "YAML", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58, 385
"/workspaces/NeuroNews/.github/workflows/ci.yml", "YAML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 77
"/workspaces/NeuroNews/.github/workflows/containerized-tests.yml", "YAML", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 137
"/workspaces/NeuroNews/.github/workflows/dbt-duckdb.yml", "YAML", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 127
"/workspaces/NeuroNews/.github/workflows/dbt-spark.yml", "YAML", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 261
"/workspaces/NeuroNews/.github/workflows/disabled/README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 49
"/workspaces/NeuroNews/.github/workflows/disabled/canary-deployment.yml", "YAML", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 57, 343
"/workspaces/NeuroNews/.github/workflows/disabled/ci-cd-containers.yml", "YAML", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 26, 155
"/workspaces/NeuroNews/.github/workflows/disabled/ci-cd-pipeline.yml", "YAML", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58, 385
"/workspaces/NeuroNews/.github/workflows/disabled/ci.yml", "YAML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 77
"/workspaces/NeuroNews/.github/workflows/disabled/containerized-tests.yml", "YAML", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 137
"/workspaces/NeuroNews/.github/workflows/disabled/deploy.yml", "YAML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"/workspaces/NeuroNews/.github/workflows/disabled/neptune-cd.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/workspaces/NeuroNews/.github/workflows/disabled/pr-testing.yml", "YAML", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 62, 362
