Date : 2025-08-27 20:00:31
Directory : /workspaces/NeuroNews
Total : 1784 files,  230846 codes, 27474 comments, 53410 blanks, all 311730 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |        442 |    101,608 |     23,324 |     22,633 |    147,565 |
| Markdown           |        194 |     38,290 |         95 |     18,906 |     57,291 |
| YAML               |        399 |     34,300 |      1,658 |      3,609 |     39,567 |
| XML                |          7 |     17,887 |         66 |         31 |     17,984 |
| MS SQL             |        558 |     15,130 |        693 |      4,103 |     19,926 |
| Shell Script       |         68 |      9,396 |      1,347 |      2,353 |     13,096 |
| HTML               |         14 |      7,566 |          0 |      1,420 |      8,986 |
| JSON               |         69 |      5,445 |          0 |         51 |      5,496 |
| Properties         |         12 |        400 |        155 |        107 |        662 |
| Docker             |          6 |        301 |        121 |        128 |        550 |
| Makefile           |          5 |        292 |         15 |         55 |        362 |
| Ini                |          4 |        110 |          0 |          8 |        118 |
| JSON Lines         |          4 |         61 |          0 |          4 |         65 |
| JSON with Comments |          2 |         60 |          0 |          2 |         62 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                      |      1,784 |    230,846 |     27,474 |     53,410 |    311,730 |
| . (Files)                                                                                                                                                              |         69 |     10,814 |      1,532 |      2,601 |     14,947 |
| .github                                                                                                                                                                |         35 |      5,175 |        391 |      1,400 |      6,966 |
| .github (Files)                                                                                                                                                        |          2 |        348 |          0 |        319 |        667 |
| .github/workflows                                                                                                                                                      |         33 |      4,827 |        391 |      1,081 |      6,299 |
| .github/workflows (Files)                                                                                                                                              |         19 |      2,995 |        210 |        677 |      3,882 |
| .github/workflows/disabled                                                                                                                                             |         14 |      1,832 |        181 |        404 |      2,417 |
| _mlruns_ci                                                                                                                                                             |          4 |         32 |          0 |          4 |         36 |
| _mlruns_ci/0                                                                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| _mlruns_ci/303720245422693958                                                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| _mlruns_ci/390175407796713606                                                                                                                                          |          2 |         20 |          0 |          2 |         22 |
| _mlruns_ci/390175407796713606 (Files)                                                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| _mlruns_ci/390175407796713606/c7f4266d1e6f4fa79a09786bdac419d2                                                                                                         |          1 |         14 |          0 |          1 |         15 |
| airflow                                                                                                                                                                |         10 |      1,389 |        654 |        396 |      2,439 |
| airflow/dags                                                                                                                                                           |          6 |        760 |        269 |        169 |      1,198 |
| airflow/dags (Files)                                                                                                                                                   |          4 |        606 |        173 |        129 |        908 |
| airflow/dags/spark_jobs                                                                                                                                                |          2 |        154 |         96 |         40 |        290 |
| airflow/include                                                                                                                                                        |          1 |         18 |          8 |          6 |         32 |
| airflow/plugins                                                                                                                                                        |          3 |        611 |        377 |        221 |      1,209 |
| ansible                                                                                                                                                                |         40 |      6,613 |        166 |        763 |      7,542 |
| ansible (Files)                                                                                                                                                        |         15 |      2,775 |         54 |        364 |      3,193 |
| ansible/group_vars                                                                                                                                                     |          4 |        468 |         55 |         54 |        577 |
| ansible/inventories                                                                                                                                                    |          3 |        243 |         28 |         33 |        304 |
| ansible/inventories (Files)                                                                                                                                            |          1 |         77 |          6 |          9 |         92 |
| ansible/inventories/production                                                                                                                                         |          1 |        108 |         13 |         14 |        135 |
| ansible/inventories/staging                                                                                                                                            |          1 |         58 |          9 |         10 |         77 |
| ansible/tasks                                                                                                                                                          |         18 |      3,127 |         29 |        312 |      3,468 |
| apps                                                                                                                                                                   |          4 |        457 |         61 |         58 |        576 |
| apps/streamlit                                                                                                                                                         |          4 |        457 |         61 |         58 |        576 |
| apps/streamlit (Files)                                                                                                                                                 |          3 |        111 |         12 |         31 |        154 |
| apps/streamlit/pages                                                                                                                                                   |          1 |        346 |         49 |         27 |        422 |
| config                                                                                                                                                                 |         11 |      1,233 |          0 |         30 |      1,263 |
| configs                                                                                                                                                                |          2 |        161 |         34 |         32 |        227 |
| data                                                                                                                                                                   |          8 |     18,100 |          2 |          4 |     18,106 |
| data (Files)                                                                                                                                                           |          7 |     18,096 |          2 |          3 |     18,101 |
| data/bronze                                                                                                                                                            |          1 |          4 |          0 |          1 |          5 |
| data/bronze/entities                                                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| dbt                                                                                                                                                                    |        748 |     28,080 |        886 |      8,071 |     37,037 |
| dbt (Files)                                                                                                                                                            |          7 |        431 |         30 |         95 |        556 |
| dbt/dbt_packages                                                                                                                                                       |        351 |     12,344 |        264 |      3,747 |     16,355 |
| dbt/dbt_packages/dbt_date                                                                                                                                              |         69 |      2,258 |         42 |        734 |      3,034 |
| dbt/dbt_packages/dbt_date (Files)                                                                                                                                      |          4 |        660 |          0 |        351 |      1,011 |
| dbt/dbt_packages/dbt_date/.circleci                                                                                                                                    |          1 |        158 |          0 |         29 |        187 |
| dbt/dbt_packages/dbt_date/.github                                                                                                                                      |          2 |         28 |          1 |         16 |         45 |
| dbt/dbt_packages/dbt_date/.github (Files)                                                                                                                              |          1 |          1 |          1 |          2 |          4 |
| dbt/dbt_packages/dbt_date/.github/ISSUE_TEMPLATE                                                                                                                       |          1 |         27 |          0 |         14 |         41 |
| dbt/dbt_packages/dbt_date/integration_tests                                                                                                                            |         20 |        460 |         23 |         86 |        569 |
| dbt/dbt_packages/dbt_date/integration_tests (Files)                                                                                                                    |          6 |         64 |          0 |         20 |         84 |
| dbt/dbt_packages/dbt_date/integration_tests/ci                                                                                                                         |          1 |         55 |          0 |          8 |         63 |
| dbt/dbt_packages/dbt_date/integration_tests/docker                                                                                                                     |          3 |         35 |         16 |          9 |         60 |
| dbt/dbt_packages/dbt_date/integration_tests/docker (Files)                                                                                                             |          2 |         33 |         16 |          8 |         57 |
| dbt/dbt_packages/dbt_date/integration_tests/docker/trino                                                                                                               |          1 |          2 |          0 |          1 |          3 |
| dbt/dbt_packages/dbt_date/integration_tests/docker/trino/catalog                                                                                                       |          1 |          2 |          0 |          1 |          3 |
| dbt/dbt_packages/dbt_date/integration_tests/macros                                                                                                                     |          3 |        166 |          3 |         38 |        207 |
| dbt/dbt_packages/dbt_date/integration_tests/models                                                                                                                     |          7 |        140 |          4 |         11 |        155 |
| dbt/dbt_packages/dbt_date/macros                                                                                                                                       |         42 |        952 |         18 |        252 |      1,222 |
| dbt/dbt_packages/dbt_date/macros (Files)                                                                                                                               |          2 |        178 |          0 |         47 |        225 |
| dbt/dbt_packages/dbt_date/macros/_utils                                                                                                                                |          3 |        101 |          0 |         46 |        147 |
| dbt/dbt_packages/dbt_date/macros/calendar_date                                                                                                                         |         35 |        522 |          8 |        138 |        668 |
| dbt/dbt_packages/dbt_date/macros/fiscal_date                                                                                                                           |          2 |        151 |         10 |         21 |        182 |
| dbt/dbt_packages/dbt_expectations                                                                                                                                      |        115 |      4,621 |         73 |      1,109 |      5,803 |
| dbt/dbt_packages/dbt_expectations (Files)                                                                                                                              |          5 |      1,128 |          3 |        463 |      1,594 |
| dbt/dbt_packages/dbt_expectations/.circleci                                                                                                                            |          1 |        126 |          0 |         22 |        148 |
| dbt/dbt_packages/dbt_expectations/.github                                                                                                                              |          4 |         52 |          1 |         31 |         84 |
| dbt/dbt_packages/dbt_expectations/.github (Files)                                                                                                                      |          2 |         10 |          1 |         11 |         22 |
| dbt/dbt_packages/dbt_expectations/.github/ISSUE_TEMPLATE                                                                                                               |          2 |         42 |          0 |         20 |         62 |
| dbt/dbt_packages/dbt_expectations/docs                                                                                                                                 |          4 |        100 |          0 |          6 |        106 |
